% Model:              PAPER2EXA3E11_V20_general.mph
% Version:            COMSOL 6.0.0.318
% Date:               Dec 9 2024, 21:40
% Table:              探针表 1 - 
% 时间 (min)                                        边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S33Bou (MPa), S33                                 S12Bou (MPa), S12                                 S23Bou (MPa), S23                                 S13Bou (MPa), S13
0                                                 8.421645452368631                                 3.2928563934598856                                3.2930231923499034                                8.646626626199107E-5                              9.941738461123448E-5                              2.3080457150617608E-4
0.15                                              8.38997762235843                                  3.280097480269078                                 3.280263934231296                                 8.627723729241358E-5                              9.922080637963806E-5                              2.3006140233191569E-4
0.3                                               8.358418057392479                                 3.267377618866752                                 3.2675440576044363                                8.622287493272962E-5                              9.923029962874924E-5                              2.294425374034173E-4
0.6                                               8.295665503699064                                 3.2420955458132164                                3.2422616258319596                                8.598084875281606E-5                              9.904398221452383E-5                              2.2809006943810584E-4
1.2                                               8.171570667647899                                 3.1921154515312584                                3.1922808183792672                                8.550084970541069E-5                              9.867362575325612E-5                              2.254135519209031E-4
2.4                                               7.928924014031036                                 3.0944496950851845                                3.094613652382759                                 8.455677842762013E-5                              9.794185195912459E-5                              2.2017226711897145E-4
4.8                                               7.465039504466052                                 2.907971357789503                                 2.9081325611198543                                8.273011604203827E-5                              9.651273487035404E-5                              2.1012171435604534E-4
9.6                                               6.617131974559219                                 2.567976159689562                                 2.5681321003385054                                7.930597395150147E-5                              9.378237722593754E-5                              1.916352371400921E-4
14.4                                              5.86539365230437                                  2.267495223243783                                 2.267650927238858                                 7.819256309427763E-5                              9.421353728506528E-5                              1.7688069446520087E-4
19.2                                              5.199039759531577                                 2.0020626841610745                                2.0022182141691296                                7.729176739908279E-5                              9.467662486619785E-5                              1.6380017569814621E-4
24                                                4.608366268450917                                 1.7675948268046302                                1.767750234234122                                 7.657003576890958E-5                              9.515923233317122E-5                              1.5220369526099277E-4
33.6                                              3.621004374330388                                 1.377819136294154                                 1.3779652333192287                                7.140887360958875E-5                              9.020441492982518E-5                              1.2929845050678053E-4
43.2                                              2.8448821447729533                                1.073487133944831                                 1.0736332417300092                                7.075776534462009E-5                              9.11547023690245E-5                               1.1404645078771094E-4
51.84                                             2.28949162326629                                  0.8571904437472636                                0.8573383843674813                                7.12535105667341E-5                               9.312306893293946E-5                              1.0381347249596656E-4
60.480000000000004                                1.8424342685182469                                0.6842635176647991                                0.6844115498864868                                7.110666522966587E-5                              9.388202293930629E-5                              9.502546188489636E-5
69.11999999999999                                 1.4825273767567526                                0.5459830581055549                                0.5461311982524242                                7.107625892431224E-5                              9.457605660203096E-5                              8.794944079781087E-5
77.75999999999999                                 1.1927702529077746                                0.4354153281738716                                0.43556358267987444                               7.112308560180691E-5                              9.520234341957537E-5                              8.225174359416462E-5
86.39999999999999                                 0.9593971682942813                                0.3472507255098184                                0.34739412226440497                               6.885826390840214E-5                              9.249312848318226E-5                              7.571729974585393E-5
95.03999999999998                                 0.7714452085836659                                0.2763981358258427                                0.27654661877720066                               7.135603123249184E-5                              9.626924043376004E-5                              7.396528372994564E-5
103.67999999999998                                0.6202619137197418                                0.2198817104541182                                0.22003029369388497                               7.149177433802363E-5                              9.670067515155786E-5                              7.099154873083327E-5
112.31999999999996                                0.498491959635307                                 0.1747212547212382                                0.17486993273238433                               7.163171623687662E-5                              9.708005706932038E-5                              6.859592764180536E-5
120.95999999999997                                0.4004774936085106                                0.13860752205735094                               0.138756282875218                                 7.176963291778838E-5                              9.740685600868926E-5                              6.666772176428883E-5
128.73599999999996                                0.3286354679776385                                0.11229837435723117                               0.11244880363843499                               7.266395819733753E-5                              9.872535873716629E-5                              6.588300446784156E-5
136.51199999999997                                0.26956562053191324                               0.09083682907076206                               0.09098731768435969                               7.277659450877311E-5                              9.894970470469692E-5                              6.472099914871735E-5
144.28799999999998                                0.22093260991358923                               0.07330757318119609                               0.07345811622125309                               7.288058312024967E-5                              9.914682337748389E-5                              6.376415341975525E-5
152.06399999999996                                0.18093735014567747                               0.0589704284482759                                0.05912101757240387                               7.297584380447281E-5                              9.931622702483245E-5                              6.297740219933417E-5
