% Model:              PAPER2EXA3E13_V20_general.mph
% Version:            COMSOL 6.0.0.318
% Date:               Dec 9 2024, 19:15
% Table:              探针表 1 - 
% 时间 (min)                                        边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S33Bou (MPa), S33                                 S12Bou (MPa), S12                                 S23Bou (MPa), S23                                 S13Bou (MPa), S13
0                                                 1.4591646721961115E-4                             -3.317978638054527E-6                             1.3560660762353106E-4                             3.65268687351447E-5                               4.141757646266076E-5                              2.2262113841546896
0.15                                              1.4561332848774704E-4                             -3.3488974147178566E-6                            1.3499781134564804E-4                             3.6506005160608356E-5                             4.124691287175491E-5                              2.2178426014113537
0.3                                               1.4553306970746172E-4                             -3.425106824138951E-6                             1.3427897934583432E-4                             3.659550244824507E-5                              4.1053600978347926E-5                             2.209493647025378
0.6                                               1.4515117618262897E-4                             -3.5312519060632914E-6                            1.3296165431423568E-4                             3.666301327236122E-5                              4.069235489237056E-5                              2.1929012845165277
1.2                                               1.443918732922727E-4                              -3.7406228904868856E-6                            1.303576068296441E-4                              3.6794706368843856E-5                             3.997797141886478E-5                              2.1600889275110258
2.4                                               1.428910246695047E-4                              -4.1478955634589045E-6                            1.2526981277291403E-4                             3.704505794887304E-5                              3.858109486520843E-5                              2.095927849160491
4.8                                               1.399589100174232E-4                              -4.918179396034807E-6                             1.1555898779700226E-4                             3.7495784347264674E-5                             3.591065362684594E-5                              1.9732591113771665
9.6                                               1.3436177671698128E-4                             -6.293937325364235E-6                             9.787187287913377E-5                              3.821359676451363E-5                              3.103078897498857E-5                              1.749013702873952
14.4                                              1.3237782036456936E-4                             -8.143718467699546E-6                             8.062695644450912E-5                              4.034238205865845E-5                              2.6368183937366066E-5                             1.5500420101796542
19.2                                              1.3060516662382414E-4                             -9.798839393873927E-6                             6.529256015191355E-5                              4.223370194816679E-5                              2.2213591745768318E-5                             1.373633673728022
24                                                1.2902140247626816E-4                             -1.127973578864262E-5                             5.165740384418958E-5                              4.3913998713944435E-5                             1.85117486636893E-5                               1.2172293212168876
33.6                                              1.198204882155403E-4                              -1.2450291811293692E-5                            3.2024905739312467E-5                             4.3498875649898995E-5                             1.2946271488166437E-5                             0.9559722494317442
43.2                                              1.176471956565272E-4                              -1.4451692395558861E-5                            1.3929984879622062E-5                             4.5707725863104237E-5                             7.996169537296307E-6                              0.7503186512229623
52.8                                              1.1591819888665195E-4                             -1.605342017882171E-5                             -3.6950500959752603E-7                            4.745185108573092E-5                              4.068414334725204E-6                              0.588675098949996
62.4                                              1.1453638900043832E-4                             -1.733538515965357E-5                             -1.1674548510267207E-5                            4.882742939182838E-5                              9.498332300535796E-7                              0.4615874403133303
70.6566095954607                                  1.153736769246996E-4                              -1.8600972633502305E-5                            -2.0377980180313808E-5                            5.066655862399952E-5                              -1.3953272051235234E-6                            0.3741631355461652
78.9132191909214                                  1.1458571113935586E-4                             -1.9341122267547754E-5                            -2.6754490992751795E-5                            5.144159545877147E-5                              -3.167592866200006E-6                             0.3031581124268665
87.1698287863821                                  1.0878594005550064E-4                             -1.889839242515851E-5                             -2.9417796070735475E-5                            4.952840832299463E-5                              -4.105027350391233E-6                             0.24559595419641894
95.4264383818428                                  1.1339963432868324E-4                             -2.0460299886755738E-5                            -3.622840151083887E-5                             5.2590040398700826E-5                             -5.816898449312473E-6                             0.19840163481386397
103.68304797730349                                1.1296150331918896E-4                             -2.0875562753116556E-5                            -3.969770079616544E-5                             5.3009892093922E-5                                -6.791410670300031E-6                             0.16024764495277427
111.93965757276419                                1.1260066035363356E-4                             -2.121848064883138E-5                             -4.25299997197644E-5                              5.33520090362263E-5                               -7.590312078801967E-6                             0.1292211572815121
120.19626716822489                                1.1230449691993875E-4                             -2.1500953085865747E-5                            -4.4842851717100556E-5                            5.363109930936544E-5                              -8.244474930792155E-6                             0.10399708795408452
128.4528767636856                                 1.1206009116486619E-4                             -2.1734802980069503E-5                            -4.672966689020717E-5                             5.385823934206363E-5                              -8.781249631688512E-6                             0.0834801024642757
136.7094863591463                                 1.118600949092617E-4                              -2.19270523128931E-5                              -4.827058862406283E-5                             5.404370191532416E-5                              -9.220353777599455E-6                             0.06680344228705111
144.1404349950609                                 1.1284522790722911E-4                             -2.2304763936713617E-5                            -4.997778504382124E-5                             5.474228174212005E-5                              -9.662269040955834E-6                             0.05441464832833067
150.81787836840394                                1.1378140182016671E-4                             -2.2630847402562155E-5                            -5.136258432398733E-5                             5.536507809476853E-5                              -1.0016378448959932E-5                            0.045077034082572916
