% Model:              PAPER2EXA3E13_V10_general.mph
% Version:            COMSOL 6.0.0.318
% Date:               Dec 9 2024, 19:45
% Table:              探针表 1 - 
% 时间 (min)                                        边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S33Bou (MPa), S33                                 S12Bou (MPa), S12                                 S23Bou (MPa), S23                                 S13Bou (MPa), S13
0                                                 -1.3408511569667515E-5                            -1.1749905148277935E-5                            -2.811094168401317E-5                             2.099064075256869E-5                              -3.35221569867312E-5                              1.8727906592622368
0.15                                              -1.333781137236852E-5                             -1.1686794998132619E-5                            -2.7894352613340854E-5                            2.0928528649931353E-5                             -3.3351498671225325E-5                            1.8656913953463055
0.3                                               -1.3245146205626273E-5                            -1.1603075060974736E-5                            -2.756362700486666E-5                             2.0880144078025264E-5                             -3.313237553055495E-5                             1.8586124562524464
0.6                                               -1.308308103138226E-5                             -1.1457413646568847E-5                            -2.7020888304093086E-5                            2.077036581062745E-5                              -3.274567694077523E-5                             1.844541493448969
1.2                                               -1.2762812384255873E-5                            -1.1169561986936462E-5                            -2.5948999759921737E-5                            2.055294479330829E-5                              -3.198143637986539E-5                             1.8167180492260058
2.4                                               -1.2137454927805939E-5                            -1.0607503991167268E-5                            -2.38586212181011E-5                              2.012651069394026E-5                              -3.048894995932658E-5                             1.762322780645618
4.8                                               -1.0945378485845502E-5                            -9.53610348040746E-6                              -1.988400637631609E-5                             1.9306223984365155E-5                             -2.7643031742856556E-5                            1.6583651931332266
9.6                                               -8.78001728891519E-6                              -7.590028540110457E-6                             -1.270293395027592E-5                             1.778799211327294E-5                              -2.2470111734992572E-5                            1.4684696824957704
14.4                                              -6.550281720995522E-6                             -5.572944185652838E-6                             -4.747604559377491E-6                             1.6618298581574015E-5                             -1.7197170785495783E-5                            1.3001992114192273
19.2                                              -4.564477758550129E-6                             -3.7754254696225445E-6                            2.338675833393925E-6                              1.5575975225864073E-5                             -1.250093768637669E-5                             1.151169171694208
24                                                -2.7959624702821158E-6                            -2.173611764453681E-6                             8.650694967760152E-6                              1.4647174828740703E-5                             -8.318436787157996E-6                             1.0191791803015113
33.6                                              -4.715417417003211E-7                             -8.868476107351497E-8                             1.589840670527332E-5                              1.2684937375785802E-5                             -2.7225019407927293E-6                            0.7989481263469026
43.2                                              1.8861822802904338E-6                             2.0508925380926874E-6                             2.4312622747189272E-5                             1.1440491910899982E-5                             2.854012457381515E-6                              0.6260451136195755
52.8                                              3.755857554389805E-6                              3.7496585226109415E-6                             3.0987548343052625E-5                             1.0452520919001225E-5                             7.276490163800903E-6                              0.4904154410843124
62.4                                              5.238363362499752E-6                              5.09829801625689E-6                               3.628221093688751E-5                              9.66824488085697E-6                               1.078341350127275E-5                              0.38402283520226765
72                                                6.413762834046528E-6                              6.168871571234628E-6                              4.048164514376229E-5                              9.045726351708293E-6                              1.3564065509333265E-5                             0.30056387601870405
81.6                                              7.345620562017881E-6                              7.0186619598820866E-6                             4.381217926627418E-5                              8.55159757428166E-6                               1.576873310321503E-5                              0.23509356148602162
91.2                                              7.259141435115093E-6                              6.915779940481078E-6                              4.216696647283237E-5                              7.649821751629497E-6                              1.5687661606204898E-5                             0.18391050411067697
100.8                                             8.674036385113569E-6                              8.232600550164325E-6                              4.8563281551722037E-5                             7.84591758265972E-6                               1.8912026511468765E-5                             0.1433898388850122
110.4                                             9.137214955734475E-6                              8.656474659545013E-6                              5.022051301712546E-5                              7.599455111657325E-6                              2.000809347063937E-5                              0.11179456803421711
119.03999999999999                                9.600126343267272E-6                              9.083999004668173E-6                              5.208461072465756E-5                              7.500301489708806E-6                              2.1084459882571986E-5                             0.08918928926094631
127.67999999999999                                9.871182231423537E-6                              9.332626516870972E-6                              5.305527994962625E-5                              7.355841562919862E-6                              2.1725988769655358E-5                             0.07104857296177394
136.32                                            1.0090963606177952E-5                             9.534432527913471E-6                              5.384266859996268E-5                              7.238648578488187E-6                              2.224620875691046E-5                              0.05646885378886192
144.09599999999998                                1.037097627031251E-5                              9.79460903965417E-6                               5.503518385778283E-5                              7.224116960386075E-6                              2.289147453888837E-5                              0.04577482242103574
151.87199999999996                                1.0505214572437164E-5                             9.918126240562605E-6                              5.551649303926568E-5                              7.152433621948557E-6                              2.3209264537473325E-5                             0.037017972057853746
