% Model:              PAPER2EXA3E13_V30_general.mph
% Version:            COMSOL 6.0.0.318
% Date:               Dec 9 2024, 19:14
% Table:              探针表 1 - 
% 时间 (min)                                        边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S33Bou (MPa), S33                                 S12Bou (MPa), S12                                 S23Bou (MPa), S23                                 S13Bou (MPa), S13
0                                                 3.194632411559933E-4                              8.943510371204653E-5                              -5.666529636171646E-4                             1.5778714584184842E-4                             -2.3736203364327474E-4                            2.671212648453506
0.15                                              3.183112953561461E-4                              8.91109417710861E-5                               -5.650296287623421E-4                             1.57095189487308E-4                               -2.3680531277186508E-4                            2.6612780818347983
0.3                                               3.1712608260886754E-4                             8.878679586287713E-5                              -5.638042005526204E-4                             1.5625711762871884E-4                             -2.3654325208007643E-4                            2.651364863159577
0.6                                               3.1480551563496526E-4                             8.814313506280492E-5                              -5.609735551706472E-4                             1.5473858523976062E-4                             -2.3572875879767887E-4                            2.6316643574941923
1.2                                               3.102136885409208E-4                              8.68696219114186E-5                               -5.553661270404522E-4                             1.5173567698218403E-4                             -2.3411253180714934E-4                            2.5927008173958024
2.4                                               3.012240731067238E-4                              8.437692141422665E-5                              -5.443633960739873E-4                             1.458642245343013E-4                              -2.3093041260051328E-4                            2.5164936155772866
4.8                                               2.8399604500690875E-4                             7.960173045175306E-5                              -5.231803552120316E-4                             1.3464109729505847E-4                             -2.2476195942225057E-4                            2.3707249601298157
9.6                                               2.5235522553721776E-4                             7.083835100533743E-5                              -4.8390553051259265E-4                            1.1413975075128746E-4                             -2.13165762669218E-4                              2.1040009266167696
14.4                                              2.2361428556796033E-4                             6.300428208574523E-5                              -4.542587349968422E-4                             9.38081411146519E-5                               -2.068429507040445E-4                             1.8670090243509367
19.2                                              1.979576895518971E-4                              5.601723637010179E-5                              -4.278493025201058E-4                             7.564509012585726E-5                              -2.0123369505720818E-4                            1.6566203830424093
24                                                1.7505514341242982E-4                             4.9785817703750474E-5                             -4.043243716483449E-4                             5.941981873134803E-5                              -1.9625771882597498E-4                            1.469847383091777
33.6                                              1.373324793265781E-4                              3.933548934474364E-5                              -3.52931415790499E-4                              3.631141835301417E-5                              -1.7918431298922168E-4                            1.1573277849153012
43.2                                              1.0648671872905633E-4                             3.097917675606738E-5                              -3.2138948637028047E-4                            1.4432621459377405E-5                             -1.7255960675226353E-4                            0.9106315066917055
52.8                                              8.192726651837233E-5                              2.4337220858205985E-5                             -2.96387233326653E-4                              -3.015098467621577E-6                             -1.6735608482098304E-4                            0.7162333631981316
62.4                                              6.23603125386513E-5                               1.905501213855244E-5                              -2.7654945039246715E-4                            -1.6935849532392935E-5                            -1.632618210381196E-4                             0.5629967586866407
70.90876279636635                                 4.8166655470242034E-5                             1.5267604705969195E-5                             -2.650758392192835E-4                             -2.7866769898443945E-5                            -1.623369650791477E-4                             0.45441384920881145
85.90876279636635                                 3.0568573589930635E-5                             1.0330790847369614E-5                             -2.3105882081577271E-4                            -3.574353326981923E-5                             -1.472723326812269E-4                             0.31158195546445266
94.28350750368767                                 2.31540649227377E-5                               8.229553112981418E-6                              -2.1379284816824284E-4                            -3.82157226679904E-5                              -1.3885343855624525E-4                            0.25163482143500643
102.65825221100901                                1.4907084654777484E-5                             6.341890759800629E-6                              -2.3216584663564112E-4                            -5.1744555009122114E-5                            -1.5591672895168157E-4                            0.20226667342001572
111.03299691833034                                9.630616692889154E-6                              4.929457393169091E-6                              -2.2692693925083544E-4                            -5.552610838139056E-5                             -1.5488297899941258E-4                            0.16292437923501518
119.40774162565167                                5.305309753052212E-6                              3.7736955889874706E-6                             -2.2264809455230713E-4                            -5.862990767391995E-5                             -1.5404541196880066E-4                            0.13095264821460043
127.782486332973                                  1.7610778446390727E-6                             2.8279887854744042E-6                             -2.1915453902603732E-4                            -6.117639057359834E-5                             -1.5336713309288115E-4                            0.10497205377722896
136.15723104029433                                -1.143472915288653E-6                             2.0542419930451214E-6                             -2.1630190805188102E-4                            -6.326589837281697E-5                             -1.5281784362780953E-4                            0.08385850716820697
144.5319757476157                                 -3.523442398277208E-6                             1.4212195852404323E-6                             -2.1397292206272475E-4                            -6.498016983006337E-5                             -1.5237312199133367E-4                            0.06670019400112455
152.90672045493702                                -5.473442241639885E-6                             9.033593754844743E-7                              -2.1207157849529798E-4                            -6.638649154016753E-5                             -1.5201312269525274E-4                            0.05275584427854329
