% Model:              PAPER2EXA3E11_V30_general.mph
% Version:            COMSOL 6.0.0.318
% Date:               Dec 10 2024, 10:10
% Table:              探针表 1 - 
% 时间 (min)                                        边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S33Bou (MPa), S33                                 S12Bou (MPa), S12                                 S23Bou (MPa), S23                                 S13Bou (MPa), S13
0                                                 10.723682614399268                                3.6908837373452243                                3.691409922359665                                 -3.680384247273929E-4                             -3.742194447053082E-5                             -5.257406015568453E-5
0.15                                              10.684021206384191                                3.6763224448062566                                3.676846961615464                                 -3.663879379654449E-4                             -3.7484939722216114E-5                            -5.223053640676566E-5
0.3                                               10.644481881623642                                3.661806780653836                                 3.662329685984056                                 -3.644231925326801E-4                             -3.778752599033499E-5                             -5.182253830182641E-5
0.6                                               10.565866759475991                                3.632957638248935                                 3.6334772855066095                                -3.608354253660837E-4                             -3.814990943491115E-5                             -5.1077888442691E-5
1.2                                               10.410376015956508                                3.5759357035981987                                3.576448898953599                                 -3.5374148506325543E-4                            -3.8865166914975834E-5                            -4.960897298033661E-5
2.4                                               10.106233493928475                                3.464548213596705                                 3.465048758223777                                 -3.3987447898900595E-4                            -4.025821983955534E-5                             -4.675105758424719E-5
4.8                                               9.524376851190091                                 3.252018204570234                                 3.2524944293062132                                -3.1338105872845586E-4                            -4.289901283636051E-5                             -4.1342374789641174E-5
9.6                                               8.459355488548482                                 2.8650658044631316                                2.8654970815102354                                -2.6503127191489814E-4                            -4.763409544245975E-5                             -3.165952742546553E-5
14.4                                              7.513165745657986                                 2.5237517190778633                                2.5241435023386285                                -2.1742428592540957E-4                            -5.528791709327956E-5                             -2.2302167061469307E-5
19.2                                              6.672824652268041                                 2.2228476555440215                                2.223204063433996                                 -1.7487928986696826E-4                            -6.225907734991892E-5                             -1.4126875576673202E-5
24                                                5.9264721942439                                   1.9575867196254224                                1.9579114390938863                                -1.3685736493361777E-4                            -6.860503745198346E-5                             -6.987030307841049E-6
33.6                                              4.675656529955391                                 1.5179445852961935                                1.5182132530905792                                -8.242795688410546E-5                             -7.242004182166449E-5                             2.5597050223782905E-6
43.2                                              3.6882472531260837                                1.1761834601042727                                1.176408801063081                                 -3.1171602390667645E-5                            -8.146099311826927E-5                             1.140086664983329E-5
51.84                                             2.978841386544441                                 0.9343499496315294                                0.9345441245037783                                8.046898038748165E-6                              -8.965537214638786E-5                             1.7948129273060686E-5
60.480000000000004                                2.405743199585979                                 0.7418351884766415                                0.7420034002258832                                3.8502006720003465E-5                             -9.535650025077772E-5                             2.2722131185060997E-5
69.11999999999999                                 1.9426300640775092                                0.5885808732581047                                0.5887277685063426                                6.338630345236085E-5                              -1.0013914809384315E-4                            2.643550677427956E-5
77.75999999999999                                 1.568359332569687                                 0.4666127778430766                                0.4667421685581722                                8.37200448329494E-5                               -1.0414675246982393E-4                            2.931823104396966E-5
86.39999999999999                                 1.2656003649148384                                0.3699644786620432                                0.37007789498473365                               9.473377362481292E-5                              -1.0346828716785932E-4                            3.0278315727109876E-5
95.03999999999998                                 1.0208156677064544                                0.29256084487954404                               0.29266397129614413                               1.139866751773727E-4                              -1.1033863571249378E-4                            3.325899711105922E-5
103.67999999999998                                0.8233046329877268                                0.23113096423891027                               0.2312244163472708                                1.2506836407607356E-4                             -1.1267504789212884E-4                            3.4595867838000644E-5
112.31999999999996                                0.6634875735102197                                0.1823619438788647                                0.18244740239846377                               1.3413587834471019E-4                             -1.1462889040801891E-4                            3.561323861801806E-5
120.95999999999997                                0.5344154471294973                                0.14354094424772607                               0.14361987829754055                               1.4153578573610723E-4                             -1.1625443939990248E-4                            3.640287217804725E-5
128.73599999999996                                0.43936356822936506                               0.11542942276684709                               0.11550398483498223                               1.4889279387486152E-4                             -1.1880963825651122E-4                            3.7361561459183125E-5
136.51199999999997                                0.3609723545676098                                0.09262179681883496                               0.09269227644679574                               1.5348106030740495E-4                             -1.1985450982704975E-4                            3.779223872517461E-5
144.28799999999998                                0.2961315208481395                                0.07413023757976506                               0.07419726817714112                               1.573143799525072E-4                              -1.2074239978031386E-4                            3.812158654291334E-5
152.06399999999996                                0.24266692144149732                               0.059064473762216525                              0.05912864490626219                               1.605040411162226E-4                              -1.2149188546226649E-4                            3.8384433231374966E-5
