% Model:              PAPER2EXA1V2.mph
% Version:            COMSOL 6.0.0.318
% Date:               Apr 24 2024, 18:01
% Table:              探针表 1 - 
% 时间 (d)                                          边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S12Bou (MPa), S12
0                                                 2.5668381445558985                                1.1661302615103402                                -2.2359585573061865E-6
0.05                                              2.5657171546333566                                1.1665239057455237                                -2.244931911810056E-6
0.1                                               2.5646016602115886                                1.1669152381640606                                -2.2615200507836376E-6
0.2                                               2.5623870181434154                                1.1676925948700538                                -2.286801505824167E-6
0.4                                               2.558022410000581                                 1.1692247397108424                                -2.3365348423842836E-6
0.8                                               2.5495460530284495                                1.172200793241978                                 -2.43275718092572E-6
1.6                                               2.5335597054261085                                1.177815597715338                                 -2.6127930067288003E-6
3.2                                               2.5051172014379994                                1.1878124351371602                                -2.9274757521458223E-6
6.4                                               2.460030237134401                                 1.2036822503432827                                -3.4049162634941497E-6
9.6                                               2.427085609952871                                 1.2152930245237061                                -3.93475803006634E-6
12.8                                              2.4030094267176083                                1.2237957002548296                                -4.337754389016638E-6
16                                                2.3854116549597437                                1.230023837949068                                 -4.6442423430326255E-6
19.2                                              2.3725469723840598                                1.2345873759923258                                -4.877323384722153E-6
24.2                                              2.3590106550460077                                1.2394140023177926                                -4.890637810728301E-6
29.2                                              2.3507081791191795                                1.242371416942092                                 -5.056523923019355E-6
34.2                                              2.3455743101411195                                1.2442438027894243                                -4.692574605114096E-6
39.2                                              2.3424836332351773                                1.245321992123022                                 -5.237946048564111E-6
44.2                                              2.3405231462438207                                1.246055715627838                                 -5.284091851187633E-6
49.2                                              2.33940670045401                                  1.2464316526653123                                -5.312123584455538E-6
54.2                                              2.3386606732241173                                1.246717071180951                                 -5.331673634700906E-6
