% Model:              PAPER2EXA1V2.mph
% Version:            COMSOL 6.0.0.318
% Date:               Apr 24 2024, 18:00
% Table:              探针表 1 - 
% 时间 (d)                                          边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S12Bou (MPa), S12
0                                                 1.166140039325616                                 2.405738748269192                                 2.8242296834513248E-9
0.05                                              1.1665337501199569                                2.404724982261864                                 1.003307792402096E-8
0.1                                               1.1669252126066292                                2.4037160070727355                                2.2511635999755495E-8
0.2                                               1.1677027632834605                                2.4017132251852833                                4.198372827168862E-8
0.4                                               1.169235288218235                                 2.3977667530905804                                8.029022041666769E-8
0.8                                               1.1722120713815851                                2.3901047835830704                                1.5440984152403983E-7
1.6                                               1.177828219301897                                 2.3756631632576646                                2.931175616116568E-7
3.2                                               1.1878273275828892                                2.3500001350273796                                5.357038539433056E-7
6.4                                               1.203700341842993                                 2.3094169598475776                                9.045159146681151E-7
9.6                                               1.215314343636648                                 2.2798592772173336                                1.2970979840765173E-6
12.8                                              1.2238191373815421                                2.258333523253043                                 1.5935534156130763E-6
16                                                1.2300486385757021                                2.24265602764804                                  1.8174572938290017E-6
19.2                                              1.2346130319630386                                2.2312370849642584                                1.9865996579992906E-6
24.2                                              1.2394390214381885                                2.21928404937042                                  2.0051737341098137E-6
29.2                                              1.2423967321251292                                2.211991957144896                                 2.1236735248120206E-6
34.2                                              1.2442666087012526                                2.2075444514157048                                1.8777134961900395E-6
39.2                                              1.2453473209400978                                2.204833467074152                                 2.2514184193078814E-6
44.2                                              1.2460810061756245                                2.203166686840539                                 2.283503629851859E-6
49.2                                              1.2464568788090251                                2.202179591911221                                 2.3030302835347553E-6
54.2                                              1.2467422494970235                                2.201557102534598                                 2.3164260585795233E-6
